"","SOU","LL","KM","AI","EN","AS","LER","JT","UEM"
"SOU",0.0842585055114454,0.0623891322346289,0.0556463394917229,0.138204657853238,0.0649010278193613,0.10336436629266,0.0477156233577247,0.0666639063001184,0.0689986402220929
"LL",0.0623891322346289,0.0442240323990238,0.0364351699483209,0.130564469384897,0.0497730639970743,0.0857246140906431,0.0278242500474201,0.0468200839821886,0.0493624247682223
"KM",0.0556463394917229,0.0364351699483209,0.028960737431447,0.126681673153112,0.0433354040243734,0.0804513694139704,0.0202836006421345,0.0397995357314696,0.0422821584570428
"AI",0.138204657853238,0.130564469384897,0.126681673153112,0.236066461969491,0.145160263481243,0.151825904244733,0.120734611171918,0.130672039453402,0.133821488159942
"EN",0.0649010278193613,0.0497730639970743,0.0433354040243734,0.145160263481243,0.0615800228679107,0.0905416870750212,0.0352847226172287,0.0517059680854975,0.0553750784932506
"AS",0.10336436629266,0.0857246140906431,0.0804513694139704,0.151825904244733,0.0905416870750212,0.13951735231964,0.0744263142065783,0.0905571768559257,0.0943578912324944
"LER",0.0477156233577247,0.0278242500474201,0.0202836006421345,0.120734611171918,0.0352847226172287,0.0744263142065783,0.0118360777665955,0.0315961300027458,0.0341549223973898
"JT",0.0666639063001184,0.0468200839821886,0.0397995357314696,0.130672039453402,0.0517059680854975,0.0905571768559257,0.0315961300027458,0.0515961571458919,0.0534077154684591
"UEM",0.0689986402220929,0.0493624247682223,0.0422821584570428,0.133821488159942,0.0553750784932506,0.0943578912324944,0.0341549223973898,0.0534077154684591,0.0566365158293813
