"","SOU","LL","KM","AI","EN","AS","LER","JT","UEM"
"SOU",1,0.00522806,0.16583527,0.88140935,0.12800406,6e-07,0,0.00020941,0
"LL",0.00522806,1,0.00371262,0.61630097,0.54871191,0.05028193,0.00062011,0.02085699,0
"KM",0.16583527,0.00371262,1,1,0.68463434,0.01361285,0,0,0
"AI",0.88140935,0.61630097,1,1,1,0.56538902,0.10508534,0.55818454,0
"EN",0.12800406,0.54871191,0.68463434,1,1,0.40907253,0.01098006,0.00222445,0
"AS",6e-07,0.05028193,0.01361285,0.56538902,0.40907253,1,0.73423968,0.04282157,0
"LER",0,0.00062011,0,0.10508534,0.01098006,0.73423968,1,5.022e-05,0
"JT",0.00020941,0.02085699,0,0.55818454,0.00222445,0.04282157,5.022e-05,1,0
"UEM",0,0,0,0,0,0,0,0,1
